Date,Open,High,Low,Close,AdjClose,Volume
2019-08-19,224.039993,225.690002,222.830002,225.190002,221.374176,1415900
2019-08-20,225.509995,227.389999,223.529999,225.559998,221.737915,1620700
2019-08-21,225.550003,227.479996,224.789993,227.380005,223.527084,1279500
2019-08-22,227.779999,228.779999,224.990005,228.509995,224.637924,1073000
2019-08-23,228.940002,231.639999,225.570007,226.570007,222.730804,1497100
2019-08-26,227.570007,230.149994,226.110001,230.070007,226.171494,968500
2019-08-27,230.779999,231.770004,229.029999,229.789993,225.89624,1584000
2019-08-28,229.550003,231.529999,228.580002,230.139999,226.240295,1143700
2019-08-29,231,231.5,229.130005,230.410004,226.505737,986200
2019-08-30,231.490005,231.669998,229.070007,230.190002,226.289459,1426200
2019-09-03,230.600006,237.899994,230.190002,237.839996,233.809814,1843100
2019-09-04,238.229996,242,237.970001,241.070007,236.985107,1796100
2019-09-05,242,242,234.589996,235.75,231.755249,2059100
2019-09-06,235.949997,236.559998,231.660004,232.589996,228.648788,2307600
2019-09-09,232.779999,233.179993,223.740005,224,220.204361,2994000
2019-09-10,222.830002,222.990005,213.5,216.210007,212.546356,4266100
2019-09-11,215.949997,217.869995,212.5,212.699997,209.095825,3019700
2019-09-12,216.020004,219.350006,214.669998,218.850006,215.141632,2334500
2019-09-13,218.289993,219.25,213.919998,215.369995,211.720581,1908800
2019-09-16,215.520004,217.5,215.029999,216.770004,213.096863,1422100
2019-09-17,218.399994,221.399994,217.520004,221.300003,217.550079,1853300
2019-09-18,221.949997,222.600006,218.470001,221.610001,217.854843,1318300
2019-09-19,220.539993,229.360001,220,227.070007,223.222351,2281100
2019-09-20,228.25,228.479996,224.729996,225.559998,221.737915,2787400
2019-09-23,225.839996,226.509995,224.949997,225.380005,221.560974,1267000
2019-09-24,226.100006,227.270004,223.100006,225.160004,221.344681,1728600
2019-09-25,225.460007,225.619995,220.860001,222.039993,218.277542,1709400
2019-09-26,221.639999,224.070007,221.550003,223,220.163254,1350400
